Classifier	Classifier param 	Feature 	Age Group 	Avg. Correct 	Avg. Accuracy 	BTRG
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	63.4	0.379640718563	1.51856287425
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	53.6	0.320958083832	1.92574850299
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	95.6	0.57245508982	1.71736526946
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	55.4	0.331736526946	1.32694610778
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	30.0	0.179640718563	0.718562874251
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	19.6	0.117365269461	0.704191616766
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	106.6	0.638323353293	1.91497005988
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	50.8	0.304191616766	1.21676646707
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	32.6	0.195209580838	0.780838323353
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 30, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	35.8	0.214371257485	1.28622754491
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	93.2	0.558083832335	1.67425149701
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	62.6	0.374850299401	1.4994011976
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	55.2	0.330538922156	1.32215568862
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	58.0	0.347305389222	2.08383233533
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	105.2	0.62994011976	1.88982035928
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	60.0	0.359281437126	1.4371257485
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	25.0	0.149700598802	0.59880239521
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	21.6	0.129341317365	0.776047904192
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	90.4	0.541317365269	1.62395209581
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	65.2	0.390419161677	1.56167664671
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	41.4	0.247904191617	0.991616766467
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 50, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	41.4	0.247904191617	1.4874251497
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	100.4	0.60119760479	1.80359281437
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	73.2	0.438323353293	1.75329341317
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	62.0	0.37125748503	1.48502994012
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	56.8	0.340119760479	2.04071856287
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(12, 23, 100)	111.8	0.669461077844	2.00838323353
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(7, 15, 22, 100)	61.0	0.365269461078	1.46107784431
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 12, 18, 100)	25.4	0.152095808383	0.608383233533
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	32.8	0.196407185629	1.17844311377
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(12, 23, 100)	91.6	0.548502994012	1.64550898204
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(7, 15, 22, 100)	51.4	0.307784431138	1.23113772455
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 12, 18, 100)	43.8	0.262275449102	1.04910179641
<class 'core.classifier.ScikitNeuralNetClassifier'>	[[0, 100, 0]]	<class 'core.featureconverter.FaceLandmarkBoundaryFeatureConverter'>	(5, 10, 15, 20, 25, 100)	48.8	0.292215568862	1.75329341317
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(12, 23, 100)	114.0	0.682634730539	2.04790419162
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(7, 15, 22, 100)	72.0	0.431137724551	1.7245508982
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 12, 18, 100)	25.0	0.149700598802	0.59880239521
<class 'core.classifier.ScikitNaiveBayesClassifier'>	[]	<class 'core.featureconverter.FaceLandmarkFeatureConverter'>	(5, 10, 15, 20, 25, 100)	14.0	0.0838323353293	0.502994011976
